title_id,title_native,title_romaji,start_year,chapters,volume,publishing_status,country,adult,genres,average_score,mean_score,popularity,favorites,score_10,score_20,score_30,score_40,score_50,score_60,score_70,score_80,score_90,score_100,count_CURRENT,count_PLANNING,count_COMPLETED,count_DROPPED,count_PAUSED,ranking_RATED,ranking_POPULAR,synopsis,cover_image_url
67755,斉木楠雄のΨ難,Saiki Kusuo no Ψ-nan,2012.0,290.0,26.0,FINISHED,JP,False,"['Comedy', 'Slice of Life', 'Supernatural']",81,83,7950,280,7.0,5.0,8.0,13.0,25.0,65.0,216,403,473,348,1444,4145,1747,188,426,11.0,27.0,"Saiki Kusuo has a wide array of superpowers at his command, including telepathy and telekinesis. This might sound awesome, but, in Kusuo's experience, superpowers are not all they're cracked up to be. He tries to live a normal life, despite his annoying abilities.",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx67755-pP4eYGRHFzaM.jpg'}
54705,惡の華,Aku no Hana,2009.0,58.0,11.0,FINISHED,JP,False,"['Drama', 'Psychological', 'Romance']",81,82,28375,2581,50.0,34.0,92.0,143.0,258.0,500.0,1429,2750,3237,2169,1924,11727,13575,499,650,4.0,2.0,"The story opens as middle school student Takao Kasuga receives an F on a math test. But he doesn't even seem to notice because he's too engrossed in surreptitiously reading Beaudelaire's The Flowers of Evil. And the day goes downhill from there. In a moment of weakness, he finds and takes home the gym clothes belonging to sweet, pretty Nanako Saeki on whom he has a major crush. Unfortunately for Takao, there's a witness to the theft: Nakamura, who has a huge chip on her shoulder and a sadistic streak.
<br><br>
As the saga unfolds, we see Takao struggling to decide whether to confess or cover up his misdeeds at the same time that he tries to win over the girl of his dreams, and avoid the blackmail attempts of Nakamura, his new ”BFF.”
<br><br>
Smart, funny, and emotionally engaging, The Flowers of Evil introduces a character who's not a hero, but just an ordinary teenager in search of true love and real friendship.
<br><br>
(Source: Kodansha USA)
<br><br>
<I>Note: Includes 1 extra chapter.</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx54705-YDpCv7Y0KIcx.png'}
37482,RAINBOW 二舎六房の七人,RAINBOW: Nisha Rokubou no Shichinin,2002.0,235.0,22.0,FINISHED,JP,False,"['Drama', 'Psychological']",81,84,5097,220,5.0,1.0,7.0,5.0,25.0,37.0,88,244,272,245,852,3092,708,98,347,5.0,16.0,"Six minors (16-17 years) answering to the nicknames of Joe, Mario, Suppon, Baremoto, Heitai, and Kyabetsu are put into a reformatory for offenses such as aggravated assault, swindling, flight, etc. Their stay in hell begins immediately. Accommodated by a doctor pedophile, they are placed under the watch of a despotic and brutal crew. Cellmates with a certain Sakuragi (called Anchan), the tension rises between the band of buddies and their new ""friend."" A brawl breaks out, and our six prisoners are done rossés by the mysterious young man, thanks to his boxing talent.
<br><br>
The story will not only follow the lives of these seven characters surviving in their hellish environment, but also their disillusions due to the rejection by the outside world and by their close relations. This is about the extraodinary and invincible friendships between these young men.
<br><br><i>Note: Won the 2005 Shogakukan Manga Award for seinen/general category.</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx37482-Y8a2wjaRzQVH.png'}
33575,最強伝説黒沢,Saikyou Densetsu Kurosawa,2003.0,90.0,11.0,FINISHED,JP,False,"['Action', 'Comedy', 'Drama', 'Psychological']",81,83,4763,388,6.0,3.0,3.0,10.0,32.0,64.0,159,322,427,288,343,2626,1586,75,133,7.0,16.0,"Kurosawa is sick and tired of his boring, ordinary life growing old as the less popular site foreman in Anahira Construction. The turning point comes when his 44th birthday comes along, and no one remembers or celebrates with him. Realizing he lived a life without drive or purpose, Kurosawa tries to go past his comfort zone to turn his life around. Will his newfound shenanigans help him or hurt him when he gets caught up in fights with delinquents?<br><br>(Source: Manga Planet)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx33575-gfErcv5f2CL4.jpg'}
122060,이번 생도 잘 부탁해,Ibeon Saeng-do Jal Butakae,2020.0,,,RELEASING,KR,False,"['Comedy', 'Drama', 'Romance']",81,84,3493,236,3.0,,4.0,1.0,20.0,26.0,98,199,310,189,2254,1007,16,56,160,7.0,48.0,"Ji-Eum Ban has an extraordinary ability: she can remember the memories of all her past lives. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?
<br><br>
(Source: Webtoons)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx122060-wEYVCCjQvs1l.jpg'}
99324,魔入りました！入間くん,Mairimashita! Iruma-kun,2017.0,,,RELEASING,JP,False,"['Comedy', 'Fantasy']",81,82,10743,871,14.0,5.0,12.0,20.0,80.0,118.0,369,721,869,564,7073,2712,124,296,538,14.0,18.0,"Fourteen-year-old Suzuki Iruma has just been abandoned and sold to a demon by his irresponsible parents! Surprisingly, the next thing he knows he's living with the demon who has adopted him as his new grandson, and has been transferred into a school in the demon world where his new ""demon"" grandfather works as the principal. Thus begins the cowardly Iruma-kun's extraordinary school life among the otherworldly as he faces his true self, takes on challenges, and rises to become someone great.",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx99324-huvqo1tmm4pl.jpg'}
85316,デッドデッドデーモンズデデデデデストラクション,Dead Dead Demon's Dededededestruction,2014.0,,,RELEASING,JP,False,"['Comedy', 'Drama', 'Sci-Fi', 'Slice of Life']",81,82,13030,692,6.0,3.0,7.0,16.0,54.0,74.0,210,451,658,332,3745,7972,144,245,924,13.0,15.0,"The Japan Self-Defense Forces are still looking for a way to combat the alien threat, but so far conventional weapons have had no effect. Maybe it’s time to try something unconventional.<br>
<br>
Meanwhile, Kadode Koyama and her best friend avidly track the aliens’ movements on social media and less enthusiastically study for college entrance exams. When the end of the world looms overhead, you learn to take things one step at a time.<br>
<br>
(Source: Viz Media)<br>
<br>
<i>Note: Winner of the 66th Shogakukan Manga Award in the general category.</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx85316-Eg7OE0hwgOp0.jpg'}
78347,ボールルームへようこそ,Ballroom e Youkoso,2011.0,,,RELEASING,JP,False,"['Drama', 'Romance', 'Sports']",81,82,7591,420,6.0,1.0,6.0,10.0,25.0,79.0,221,516,568,314,3341,3280,93,232,645,8.0,17.0,"Fujita has drifted through middle school aimlessly, unable to find friends or anything that can hold his attention. Then, one day, he's attacked by a gang and saved by a mysterious man. But this isn't a karate master; it's a ballroom dance instructor! Reluctantly, Fujita takes a few beginner's classes, only to find his inspiration... an entrancing, teenage dance prodigy named Shizuku. It's Fujita's first step into the high-octane world of competitive dance!
<br><br>
(Source: Kodansha USA)
<br><br>
<i>Note: Nominated for the 6th and 8th Manga Taisho Award.</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx78347-UZ11VpwH5e0s.png'}
42854,とある魔術の禁書目録,Toaru Majutsu no Index,2004.0,133.0,22.0,FINISHED,JP,False,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']",81,83,5307,350,11.0,2.0,8.0,18.0,34.0,62.0,174,263,448,321,1072,2429,1305,155,346,1.0,1.0,"Set in a city of not only scientifically advanced superhuman students, but in a world where magic is also real. Kamijyo Touma's right hand, the Imagine Breaker, will negate all magic, psychic, or divine powers, as well as his own luck. One day he finds a young girl hanging on his balcony railing. She turns out to be a nun from the Church of England, and her mind has been implanted with the Index Librorum Prohibitorum&mdash;all the magical texts the Church has removed from circulation.<br><br>
(Source: Wikipedia)<br><br>
<i>Note: Includes 17 prologues, 18 epilogues, and 6 extras.</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx42854-YymcguScxjIP.png'}
31325,火の鳥,Hi no Tori,1967.0,19.0,11.0,CANCELLED,JP,False,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",81,85,3961,211,3.0,3.0,6.0,1.0,17.0,20.0,59,98,183,187,302,2837,613,46,163,177.0,,"""All things are born and all things die. That is the law of heaven."" According to legend, the Bird of Fire called the Phoenix is the eternal spirit of life, death and rebirth. She oversees the cycle of reincarnation and the rising and falling of civilizations and species. Those who can obtain her blood will be granted eternal life, while to others she can grant infinite wisdom, or eternal suffering. Throughout history, from the dawn of civilization to the extinction of the human race, those human souls touched by the Phoenix have hunted her over and over in multiple reincarnations, and their actions in one life determine or reflect the sins and sufferings of other lifetimes.<br><br>(Source: AnimeNewsNetwork)<br><br><i>Note: This is an incomplete series due to Tezuka's death.</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx31325-n1n3iHr1K6xH.png'}
